Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
AITF,AITF,2015,2015,465,0464/0465,47282-003,,,AFG,Energy Supply Improvement ProgramﾗTranche 1,CWRD,CWEN,12/08/2015,,,,,0,75,,,75,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,,,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,
,,,,,,,,,,,0,95,0,0,95,13.7,0,0,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,35,6.9,0,0,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EIB,GEF,OFID,AsIF",2015,2015,3250,3250/0471/8303,45041-002,,,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,35,,,35,,,,,,,,,,,3700,Transport,3715,Urban Public Transport,,,,,,,,,,,,,,,,
AsIF,AsIF,2015,2015,3250,3250/0471/8303,45041-002,,,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,,,,0,6.9,,,6.9,DVA,PS,Collaborative,Multilateral,Grant,,3700,Transport,,Urban Public Transport,,,,No,,03/10/2015,,,,,Sovereign,,,,"Asian Investment Facility of the European Union, this grant managed by EIB; ﾀ5million",
60,0,0,60,6.8,0,0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"AsIF,AFD,UFPF-UCCRTF",2015,2015,455,3316/0455,47127-002,,,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,60,,,60,,,,,,,,,,,3800,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812","Urban Water Supply,Urban Sanitation,Urban Slam Development,Other Urban Services",,,,,,,,,,,,,,,,
AsIF,AsIF,2015,2015,,3316/0455,47127-002,,,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0,6.8,,,6.8,DVA,PS,Collaborative,Multilateral,Grant,,3800,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,,,,,
,,,,,,,,,,,1573.2,1214.9,214.8,0,3002.9,690.67,1013.63,0,1704.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,0,15,3.5,0,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand",2006,2006,,42,,,,PNG,HIV/AIDS Prevention and Control in Rural Development Enclaves,PARD,PAHQ,04/25/2006,0,0,15,,15,,,,,,,,,,ADF Grant,3400,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,no project number,"DR 2009. para on project-specific cofinancing, pp 9. Case Study: Combating HIV/AIDS in Papua New Guinea, pp 34-35. DR 2011. Case Study Brief on grant cof, pp 16."
Australia,Australia,2006,2006,42,42,,,,PNG,HIV/AIDS Prevention and Control in Rural Development Enclaves,PARD,PAHQ,04/25/2006,,,,,0,3.5,,,3.5,DVA,PS,Full Administration,Bilateral,Grant,ADF Grant,3400,Health and Social Protection,,,,,,,,04/25/2006,03/09/1971,,06/20/1974,,Sovereign,,,,ADB admin grant,"DR 2009. para on project-specific cofinancing, pp 9. Case Study: Combating HIV/AIDS in Papua New Guinea, pp 34-35. DR 2011. Case Study Brief on grant cof, pp 16."
0,0.35,0,0.35,6.1,0,0,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand",2006,2006,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector),PARD,PLCO,08/08/2006,0,0,0.35,,0.35,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
Australia,Australia,2006,2006,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector),PARD,PLCO,08/08/2006,,,,,0,6.1,,,6.1,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,08/08/2006,12/20/1972,,09/30/1993,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0,0,0,0,2.08,0,0,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,2009,2009,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,05/20/2009,0,0,0,,0,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,2009,2006,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,01/19/2009,,,,,0,0.21,,,0.21,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,01/19/2009,12/20/1972,,09/30/1993,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
Australia,Australia,2009,2009,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,05/20/2009,,,,,0,1.87,,,1.87,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,05/20/2009,,,,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0,0,0,0,0.74,0,0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand",2012,2012,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,0,0,0,,0,,,,,,,,,,ADF Grant,3700,Transport and ICT,3701,Road Transport,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,"Australia,Australia",2012,2012,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,,,,,0,0.74,,,0.74,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,Road Transport,,,,Yes,,11/27/2012,,,,,Sovereign,Successful,,,"$743,331.01 actual amount","DR 2011. Case Study Brief on grant cof, pp 16."
0,0,0,0,0.47,0,0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,2008,2008,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (Supplementary),PARD,PLCO,04/30/2008,0,0,0,,0,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,2008,2008,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (Supplementary),PARD,PLCO,04/30/2008,,,,,0,0.47,,,0.47,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,Yes,,04/30/2008,12/20/1972,,09/30/1993,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0,27,0,27,14.5,0,0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,Korea,OFID",2007,2007,,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,0,0,27,,27,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,,,,,,,,,,,,,no project number,
Australia,Australia,2007,2007,82,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,,,,,0,14.5,,,14.5,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,09/27/2007,02/25/1972,,07/09/1975,,Sovereign,,,,,
0,0,0,0,4.3,0,0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand",2012,2012,,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,,,,,0,,,,,,,,,,,3700,Transport,3702,Water Transport (Non-Urban),,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
Australia,Australia,2012,2012,292,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,,,,,0,4.3,,,4.3,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,,,,,Yes,,05/23/2012,,,,,Sovereign,,,,A$4 million,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
0,23,0,23,5.3,0,0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,GDCF",2009,2009,,143,,,,LAO,Small Towns Water Supply and Sanitation Sector,SERD,,02/02/2009,0,0,23,,23,,,,,,,,,,ADF Grant,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,"no project number, AUS requested to remove this from the PB",
Australia,Australia,2009,2009,143,143,,,,LAO,Small Towns Water Supply and Sanitation Sector,SERD,,02/02/2009,,,,,0,5.3,,,5.3,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,02/02/2009,,,,,Sovereign,,,,Grant cancelled by AusAID in 24 August 2009,
1.3,0,0,1.3,0.78,0,0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,1973,1973,,146,41657,,,TON,Telecommunications,PARD,PARD,11/08/1973,0,1.3,0,,1.3,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,1973,1973,,146,41657,,,TON,Telecommunications,PARD,PARD,11/08/1973,,,,,0,0.78,,,0.78,Non-DVA,,,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,11/08/1973,,,,,Sovereign,,,,,
0,15,0,15,4.5,0,0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,EC",2009,2009,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector),PARD,,11/12/2009,0,0,15,,15,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,,,,,,,,,,,,,,"DR 2010. para on transport sector, pp 14. DR 2012. box in PARD section, pp 16."
AUS-PRIF,Australia,2009,2009,177,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector),PARD,,11/12/2009,,,,,0,4.5,,,4.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,11/12/2009,03/10/2010,,,,Sovereign,,,,,
0,0,0,0,4.04,0,0,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,2011,2011,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (2nd Supplementary),PARD,,06/08/2011,,,,,0,,,,,,,,,,ADF Grant,3700,Transport and ICT,3701,Road Transport (Non-Urban),,,Sustainable Economic Growth,,,,,,,,,,,,Related to Grant 0175-0177 in 2009,
AUS-PRIF,Australia,2011,2011,177,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (2nd Supplementary),PARD,,06/08/2011,,,,,0,4.04,,,4.04,DVA,CFA/TF,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,Road Transport,,,,,,06/08/2011,03/10/2010,,,,Sovereign,,,,AUS-PRIF,
0,0,0,0,2.14,0,0,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,2012,2012,210,0175/0176/0177/0207/0210,43381-054,,,SOL,Second Road Improvement (Sector) (3rd Supplementary),PARD,PAOD,03/15/2012,,,,,0,,,,,,,,,,,3700,Transport and ICT,,,,,,,,,,,,,,,,,,
Australia,Australia,2012,2012,210,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (3rd Supplementary),PARD,PAOD,03/15/2012,,,,,0,2.14,,,2.14,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,,,,,Yes,,03/15/2012,,,,,Sovereign,,,,,
0,0,0,0,0.28,0,0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,EC",2010,2010,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (Supplementary),PARD,,05/20/2010,0,0,0,,0,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,,,,,,,,,,,,,,
Australia,Australia,2010,2010,210,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (Supplementary),PARD,,05/20/2010,,,,,0,0.28,,,0.28,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,05/20/2010,,,,,Sovereign,,,," A$300,000; THIS SUPPL GRANT IS FUNDED JOINTLY BY AUS AND NZ WITH DIFFERENT APPROVAL NUMBERS = NZL GRANT 0207 FOR $358,012 ",
0,12,0,12,30,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,2010,2010,,243,,,,SOL,Transport Sector Development,PARD,,12/15/2010,0,0,12,,12,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,,,,,,,,,,,,,"is ADF grant, not an ADF loan based on COSO doc;  WITH PIGGYBACKED CDTA 7715, $800,000 BY JFPR; no project number ",
Australia,Australia,2010,2010,,243,,,,SOL,Transport Sector Development,PARD,,12/15/2010,,,,,0,30,,,30,DVA,,Collaborative,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,12/15/2010,02/25/1976,,07/17/1976,,Sovereign,,,,,
3.57,0,0,3.57,0,1.54,0,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand,U.K.",1976,1976,,289,,,,SOL,Beef Cattle Development,PARD,,12/21/1976,0,3.57,0,,3.57,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,1976,1976,,289,,,,SOL,Beef Cattle Development,PARD,,12/21/1976,,,,,0,,1.54,,1.54,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/21/1976,,,,,Sovereign,,,,,
4.9,0,0,4.9,0.46,0,0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,OFID",1977,1977,,0334/8009,,,,NEP,Sagarnath Forestry Development,SARD,SAAE,12/20/1977,0,4.9,0,,4.9,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,no project number,
Australia,Australia,1977,1977,,0334/8009,,,,NEP,Sagarnath Forestry Development,SARD,SAAE,12/20/1977,,,,,0,0.46,,,0.46,Non-DVA,,,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/20/1977,,,,,Sovereign,,,,,
0,0,0,0,6.11,0,0,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,2013,2013,336,336,45303-001,,,CAM,Rural Energy,SERD,SEEN,01/15/2013,,,,,0,,,,,,,,,,,3200,Energy,3211,Electricity Transmission and Distribution,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,2013,2013,336,336,45303-001,,,CAM,Rural Energy,SERD,SEEN,01/15/2013,,,,,0,6.11,,,6.11,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,01/15/2013,,,,,Sovereign,,,,"from AusAID; $4.11 million is denominated in US$, A$2 million assumes exchange rate of A$1 = US$1",
0,0,0,0,0.36,0,0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,2015,2015,336,336,45303-001,,,CAM,Rural EnergyﾗAdditional Financing,SERD,SEEN,08/07/2015,,,,,0,,,,,,,,,,,3200,Energy,3211,Electricity Transmission and Distribution,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,"Australia,Australia",2015,2015,336,336,45303-001,,,CAM,Rural EnergyﾗAdditional Financing,SERD,SEEN,08/07/2015,,,,,0,0.36,,,0.36,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,Yes,,08/07/2015,,,,,Sovereign,,,,"$363,645 actual grant mount",
0,2,0,2,4.5,0,0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,2013,2013,348,0347/0348/0444/0445/0446,43452-022,,,TON,Outer Island Renewable Energy,PARD,PATE,06/27/2013,,,2,,2,,,,,,,,,,,3200,Energy,3203,Renewable Energy,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,2013,2013,348,0347/0348/0444/0445/0446,43452-023,,,TON,Outer Island Renewable Energy,PARD,PATE,06/27/2013,,,,,0,4.5,,,4.5,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Renewable Energy,,,,No,,06/27/2013,,,,,Sovereign,,,,,
0,0,0,45.4,0,4.5,0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,Japan,Kuwait",1978,1978,,372,,,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,45.4,0,0,,45.4,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,1978,1978,,372,,,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,,,,,0,,4.5,,4.5,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/05/1978,,,,,Sovereign,,,,,
0,0,0,0,4.74,0,0,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,2015,2015,443,0414/0424/0443,46455-004,,,NAU,Electricity Supply Security and SustainabilityﾗAdditional Financing,PARD,PLCO,10/16/2015,,,,,0,,,,,,,,,,,3200,Energy,3211,Electricity Transmission and Distribution,,,,,,,,,,,,,,,,
Australia,Australia,2015,2015,443,0414/0424/0443,46455-004,,,NAU,Electricity Supply Security and SustainabilityﾗAdditional Financing,PARD,PLCO,10/16/2015,,,,,0,4.74,,,4.74,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,,,,,Yes,,10/16/2015,,,,,Sovereign,,,,,
0,5,0,5,4,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,2015,2015,439,0438/0439,46346-002,,,RMI,Ebeye Water Supply and Sanitation,PARD,PAUS,09/28/2015,,,5,,5,,,,,,,,,,,3800,Water and Other Urban Infrastructure and Services,"3816, 3814","Urban Sewerage,Urban Water Supply",,,,,,,,,,,,,,,,
Australia,Australia,2015,2015,439,0438/0439,46346-002,,,RMI,Ebeye Water Supply and Sanitation,PARD,PAUS,09/28/2015,,,,,0,4,,,4,DVA,PS,Full Administration,Bilateral,Grant,,3800,Water and Other Urban Infrastructure and Services,,"Urban Sewerage, Urban Water Supply",07/09/2015,,,No,,09/28/2015,,,,,Sovereign,,,,,
0,2,0,2,1.1,0,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand,World Bank",2015,2015,,442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,2,,2,,,,,,,,,,,3600,Public Sector Management,"3602, 3607","Public Expenditure and Fiscal Management,Reforms of State Owned Enterprises",,,,,,,,,,,,,,,,
Australia,Australia,2015,2015,,442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,,,0,1.1,,,1.1,DVA,PS,Collaborative,Bilateral,Grant,,3600,Public Sector Management,,"Public Expenditure and Fiscal Management, Reforms of State Owned Enterprises",,,,No,,09/30/2015,,,,,Sovereign,,,,,
12.28,0,0,12.28,0,0.89,0,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,EC,UNDP",1979,1979,,445,,,,NEP,Livestock Development,SARD,SAAE,12/19/1979,0,12.28,0,,12.28,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,1979,1979,,445,,,,NEP,Livestock Development,SARD,SAAE,12/19/1979,,,,,0,,0.89,,0.89,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/19/1979,,,,,Sovereign,,,,,
0,25,0,25,1.5,0,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,World Bank",2015,2015,,458,47320-001,,,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,,,25,,25,,,,,,,,,,,4000,Information and Communication Technology,,,,,,,,,,,,,,,,,,
Australia,"Australia,Australia",2015,2015,,458,47320-001,,,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,,,,,0,1.5,,,1.5,DVA,PS,Collaborative,Bilateral,Grant,,4000,Information and Communication Technology,,,,,,No,,11/20/2015,,,,,Sovereign,,,,,
0,2,0,2,1.8,0,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,2016,2016,,0473/0474,48478,,,NAU,Fiscal Sustainability Reform Program,PARD,PLCO,04/28/2016,,,2,,2,,,,,,,,,,,3600,Public Sector Management,,,,,,,,,,,,,,,,,,
Australia,"Australia,Australia",2016,2016,,0473/0474,48478,,,NAU,Fiscal Sustainability Reform Program,PARD,PLCO,04/28/2016,,,,,0,1.8,,,1.8,DVA,PS,Full Administration,Bilateral,Grant,,3600,Public Sector Management,,,05/25/2015,,,No,,03/21/2016,,,,Approved,Sovereign,,,,,
3,0,0,3,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,World Bank",1980,1980,,485,,,,SAM,Agricultural Development,PARD,,11/27/1980,0,3,0,,3,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,1980,1980,,485,,,,SAM,Agricultural Development,PARD,,11/27/1980,,,,,0,,2,,2,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/27/1980,,,,,Sovereign,,,,,
7.75,0,0,7.75,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,IFAD,World Bank",1983,1983,,646,17086,,,SOL,Agricultural Development,PARD,,10/29/1983,0,7.75,0,,7.75,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,1983,1983,,646,,,,SOL,Agricultural Development,PARD,,10/29/1983,,,,,0,,2,,2,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,10/29/1983,,,,,Sovereign,,,,,
0.7,0,0,0.7,0.16,0,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,1986,1986,,786,,,,KIR,Tarawa Power,PARD,PAHQ,08/21/1986,0,0.7,0,,0.7,,,,,,,,,,ADF,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,1986,1986,,786,,,,KIR,Tarawa Power,PARD,PAHQ,08/21/1986,,,,,0,0.16,,,0.16,Non-DVA,,,Bilateral,Grant,ADF,3200,Energy,,,,,,,,08/21/1986,,,,,Sovereign,,,,,
4.9,0,0,4.9,0,2.7,0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,1990,1990,,1031,,,,COO,Outer Islands Telecommunications,PARD,,09/20/1990,0,4.9,0,,4.9,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Export Financing and Insurance Corp.,Australia,1990,1990,,1031,,,,COO,Outer Islands Telecommunications,PARD,,09/20/1990,,,,,0,,2.7,,2.7,Non-DVA,,,Bilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,09/20/1990,,,,,Sovereign,,,,,
10.5,0,0,10.5,3.87,0,0,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,1992,1992,,1183,,,,SRI,Participatory Forestry,SARD,SAAE,11/05/1992,0,10.5,0,,10.5,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
Australia,Australia,1992,1992,,1183,,,,SRI,Participatory Forestry,SARD,SAAE,11/05/1992,,,,,0,3.87,,,3.87,Non-DVA,,,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/05/1992,,,,,Sovereign,,,,"PCR IN 265-01, 29Nov01. Adj  from $5.8 was changed to $3.868 ref PCR. Adj Dec03",
7.11,0,0,7.11,10,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,World Bank",1993,1993,,1225,,,,PNG,Population and Family Planning,PARD,,04/01/1993,0,7.11,0,,7.11,,,,,,,,,,ADF,3400,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
Australia,Australia,1993,1993,,1225,,,,PNG,Population and Family Planning,PARD,,04/01/1993,,,,,0,10,,,10,Non-DVA,,,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,04/01/1993,,,,,Sovereign,,,,Parallel cf ref pg 6 PCR.  Sent to OAS Feb08,
54,0,0,54,10.55,0,0,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,Germany,World Bank,EC",1994,1994,,1331,,,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,0,54,0,,54,,,,,,,,,,ADF,3400,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
Australia,Australia,1994,1994,,1331,,,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,,,,,0,10.55,,,10.55,Non-DVA,,,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,11/10/1994,,,,,Sovereign,,,,,
0,0,0,12,11.77,0,0,11.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,1995,1995,,1367,,,,PHI,Regional Municipal Development,SERD,,08/30/1995,12,0,0,,12,,,,,,,,,,OCR,3900,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
