,Year,Loan Grant No,DMC,Project Name,SF Source,OCR Loan,ADF Loan,ADF Grant,Other SF,Total,Cofinancier,Grant,Loan,Total.1,ADB Approval
329,2012,0175/0176/0177/0207/0210,SOL,Second Road Improvement (Sector) (3rd Supplementary),,0.0,0.0,0.0,0.0,0.0,Australia,2.14,0.0,2.14,15-Mar-2012
330,2012,2980/0331,PRC,Shaanxi Weinan Luyang Integrated Saline Land Management,,100.0,0.0,0.0,0.0,100.0,GEF,2.0,0.0,2.0,17-Dec-2012
331,2012,2949/8263,BAN,South Asia Subregional Economic Cooperation Road Connectivity,,0.0,198.0,0.0,0.0,198.0,ADFD,0.0,30.0,60.0,22-Nov-2012
332,2012,2949/8263,BAN,South Asia Subregional Economic Cooperation Road Connectivity,,,,,,,OFID,0.0,30.0,,
333,2012,0305-0306/0368,NEP,Strengthening Public Management Program,,0.0,0.0,21.0,0.0,21.0,DFID,4.0,0.0,4.0,26-Sep-2012
334,2012,2945/7376/CF8260,THA,Theppana Wind Power,,4.54,0.0,0.0,0.0,4.54,CTF,0.0,4.0,4.0,20-Nov-2012
336,2012,2878/0298,BAN,Urban Primary Health Care Services Delivery,,0.0,50.0,0.0,0.0,50.0,Sida,20.0,0.0,20.0,18-Jul-2012
337,2012,2934/2935/0315,MON,Urban Transport Development Investment Program - Tranche 1,,29.7,30.2,0.0,0.0,59.9,GEF,1.5,0.0,1.5,08-Nov-2012
338,2013,3015/0354/8272,INO,West Kalimantan Power Grid Strengthening,,49.5,0.0,0.0,0.0,49.5,AFD,0.0,49.5,51.5,27-Aug-2013
339,2013,3015/0354/8272,INO,West Kalimantan Power Grid Strengthening,,,,,,,CEF-CEFPF,2.0,0.0,,
340,2013,3025/3026,UZB,Amu Bukhara Irrigation System Rehabilitation,,174.0,46.0,0.0,0.0,220.0,JICA,0.0,100.0,100.0,25-Sep-2013
342,2013,0357/0358,NEP,Building Climate Resilience of Watersheds in Mountain Eco-Regions,,0.0,0.0,0.0,0.0,0.0,NDF,4.63,0.0,28.17,23-Sep-2013
343,2013,0357/0358,NEP,Building Climate Resilience of Watersheds in Mountain Eco-Regions,,,,,,,SCF-PPCR,23.54,0.0,,
344,2013,3056/0366,KGZ,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4",,0.0,65.0,35.0,0.0,100.0,EDB,0.0,60.0,60.0,05-Nov-2013
345,2013,3013/0353,VIE,Central Mekong Delta Region Connectivity,,410.0,0.0,0.0,0.0,410.0,Australia,134.0,0.0,394.0,05-Aug-2013
346,2013,3013/0353,VIE,Central Mekong Delta Region Connectivity,,,,,,,KEXIM,0.0,260.0,,
347,2013,2992/8268/7384,THA,Central Thailand Solar Power,,52.0,0.0,0.0,0.0,52.0,CTF,0.0,35.0,35.0,28-Feb-2013
349,2013,3006/3007/0349/0350/8271,CAM,Climate-Resilient Rice Commercialization Sector Development Program,,0.0,55.0,0.0,0.0,55.0,GAFSP,14.6,0.0,24.1,27-Jun-2013
350,2013,3006/3007/0349/0350/8271,CAM,Climate-Resilient Rice Commercialization Sector Development Program,,,,,,,SCF-PPCR,4.5,5.0,,
351,2013,3094/0379,INO,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative,,45.52,0.0,0.0,0.0,45.52,GEF,8.0,0.0,8.0,13-Dec-2013
352,2013,3051/8292,BAN,Dhaka Environmentally Sustainable Water Supply,,0.0,250.0,0.0,0.0,250.0,AFD,0.0,64.0,200.0,22-Oct-2013
353,2013,3051/8292,BAN,Dhaka Environmentally Sustainable Water Supply,,,,,,,EIB,0.0,136.0,,
354,2013,3008/3009,SRI,Education Sector Development Program,,100.0,100.0,0.0,0.0,200.0,World Bank,0.0,100.0,100.0,27-Jun-2013
361,2013,2372/0095/2988/0337,VIE,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing,,0.0,25.0,0.0,0.0,25.0,Australia,12.43,0.0,12.43,11-Feb-2013
362,2013,2835/0364,PRC,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing,,100.0,0.0,0.0,0.0,100.0,GEF,3.65,0.0,3.65,09-Oct-2013
367,2013,3090/3091/3092,PAK,Jamshoro Power Generation,,870.0,30.0,0.0,0.0,900.0,IsDB,0.0,150.0,150.0,09-Dec-2013
