,Unnamed: 0,Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval,with empty
670,1578,2012,8119,REG,Economics of Climate Change in Central and West Asia,R-RDTA,,C,Multisector,Bilateral,Single Donor,"2,000.00",ACEF,17-Jun-2011,18-Jul-2012,True
671,1579,2012,8120,REG,Grid Integration of Renewable Energy Sources and Solar Energy Technology ,S-CDTA,,C,Energy,Bilateral,Single Donor,130.00,SPA,08-Jul-2012,23-Jul-2012,True
673,1581,2012,8122,REG,Establishing a Pilot Center to Facilitate Climate Technology Investments in Asia and the Pacific - Project Management (Subproject 4),R-CDTA,,PS,Multisector,Global Fund,Multidonor,300.00,GEF,,23-Jul-2012,True
675,1583,2012,8129,IND,Advanced Project Preparedness for Poverty Reduction - Updating Load Forecasting and Power System Master Plan for Assam (Subproject 26),CDTA,,PS,Energy,Bilateral,Single Donor,400.00,UKG,,03-Aug-2012,True
676,1584,2012,8130,SOL,Outer Island Renewable Energy,PPTA,,PS,Energy,Global Fund,Multidonor,250.00,SCF-SREP,,27-Sep-2012,True
679,1587,2012,8133,PRC,Road Map for Carbon Capture and Storage Demonstration and Deployment,PATA,,C,Energy,Multi-Donor Trust Fund,Multidonor,"2,200.00",CCSF,,10-Aug-2012,True
680,1588,2012,8135,PHI,Design of a Pilot Project to Improve Environmental Conditions of Estero de Paco,S-CDTA,,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,220.00,SPA,,08-Aug-2012,True
681,1589,2012,8136,MYA,Myanmar Tourism Master Plan,S-PATA,,PS,Industry and Trade,Bilateral,Single Donor,225.00,NOR,,05-Jul-2012,True
684,1592,2012,8153,REG,Policies for Industrial and Service Diversification in Asia in the 21st Century,R-PATA,,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,20-Aug-2012,07-Sep-2012,True
685,1593,2012,8163,REG,Implementing the Greater Mekong Subregion Core Agriculture Support Program (Phase 2),R-PATA,,PS,Multisector,Bilateral,Single Donor,"7,500.00",SWE,,14-Sep-2012,True
686,1594,2012,8164,PHI,Strengthening Knowledge-based Economic and Social Development,CDTA,,C,Education,Bilateral,Single Donor,500.00,EAKPF,,14-Sep-2012,True
687,1595,2012,8166,IND,Climate Adaptation through Sub-Basin Development Investment program,PPTA,,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,140.00,MDTF-WFPF,,20-Sep-2012,True
689,1597,2012,8172,PRC,Jilin Urban Services Improvement Project,PPTA,,C,Multisector,Multi-Donor Trust Fund,Multidonor,150.00,MDTF-WFPF,,13-Sep-2012,True
690,1598,2012,8173,NEP,Supporting the Strengthening Public Management Program,CDTA,,PS,Public Sector Management,Bilateral,Single Donor,"2,500.00",UKG,,26-Sep-2012,True
691,1599,2012,8178,PRC,Advancing Shanghai Carbon Market through Emissions Trading Scheme,PATA,,C,Energy,Special Fund,ADB,72.31,CCF,,02-Oct-2012,True
692,1600,2012,8179,CAM,Mainstreaming Climate Resilience into Development Planning,CDTA,,PS,Multisector,Global Fund,Multidonor,"7,000.00",SCF-PPCR,,01-Oct-2012,True
696,1604,2012,8187,MYA,Support for Education Sector Planning,CDTA,J,PS,Education,Bilateral,Single Donor,370.00,AUS,,10-Oct-2012,True
698,1606,2012,8189,REG,Implementation of Sustainable Transport in Asia and the Pacific - New Approaches to Implement Sustainable Low Carbon Transport in Asia and the Pacific Region (Subproject 5),R-CDTA,,C,Transport and ICT,Special Fund,ADB,"1,900.00",CCF,,12-Oct-2012,True
702,1610,2012,8197,BAN,Supporting Brick Sector Development Program,CDTA,E,C,Finance,Multi-Donor Trust Fund,Multidonor,750.00,CEF-CEFPF,,22-Oct-2012,True
704,1612,2012,8204,REG,Regional Capacity Development for Strengthened HIV Response,R-CDTA,E,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,"1,000.00",HIV/AIDS Fund,,30-Oct-2012,True
707,1615,2012,8214,REG,Implementing Prudential Standards in Islamic Finance,R-PATA,,C,Finance,Bilateral,Single Donor,250.00,EAKPF,,13-Nov-2012,True
708,1616,2012,8214,REG,Implementing Prudential Standards in Islamic Finance,R-PATA,,C,Finance,Multi-Donor Trust Fund,Multidonor,500.00,FSDPF,,13-Nov-2012,True
711,1619,2012,8222,KGZ,Investment Climate Improvement Program - Subprogram 2 (Preparing Subprogram 3),CDTA,,C,Multisector,Multi-Donor Trust Fund,Multidonor,150.00,FSDPF,,26-Nov-2012,True
