Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
OFID,2005,,0016/8219,,LAO,Northern and Central Regions Water Supply and Sanitation Sector,SERD,SESS,08/25/2005,9,DVA,,Partial Administration,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
OFID,2006,8225,2265/8225,36297,BAN,Secondary Towns Water Supply and Sanitation Sector,SARD,SAUD,10/16/2006,9,DVA,PS,Partial Administration,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
OFID,2006,8230,2303/8230,40043,TAJ,Regional Power Transmission Interconnection,CWRD,CWID,12/19/2006,8.5,DVA,,Partial Administration,Multilateral,Loan,Energy,Sovereign
OFID,2006,8231,0051/8231,,NEP,Road Connectivity Sector I,SARD,,08/10/2006,10,DVA,,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2006,,2288/2602/0187,37269-023,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia,SERD,SEID,12/13/2006,13,DVA,,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2007,8234,0093/8234,,NEP,Rural Reconstruction and Rehabilitation Sector Development Program,SARD,,12/12/2007,10,DVA,,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2007,,0082/8241,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,11,DVA,,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2007,,2196/0023,38236,TAJ,Dushanbe-Kyrgyz Border Road Rehabilitation Phase II,CWRD,,12/04/2007,3.5,DVA,,Collaborative,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2007,,2398-2399/0102,,PNG,Lae Port Development,PARD,PAHQ,12/18/2007,6,DVA,,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2008,2406 (PL),2406/0104,41123,CAM,Road Asset Management,SERD,SEID,01/21/2008,7,DVA,,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2008,8239,2409/0110/0146/8233/8239,41657,BAN,Emergency Disaster Damage Rehabilitation (Sector),SARD,BRM,01/31/2008,20,DVA,PS,Partial Administration,Multilateral,Loan,Multisector,Sovereign
OFID,2008,,2444,38411-01,IND,Orissa Integrated Irrigated Agriculture and Water Management Investment Program - Tranche 1,SARD,SANS,09/18/2008,30,DVA,,Partial Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
OFID,2008,,2465,37749,PHI,Agrarian Reform Communities Project II,SERD,SEAE,10/27/2008,30,DVA,,Partial Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
OFID,2009,8247,2579/0179/8247,39399,NEP,South Asia Tourism Infrastructure Development - Nepal,SARD,SAUD,11/16/2009,15,DVA,,Partial Administration,Multilateral,Loan,Transport,Sovereign
OFID,2010,8249,2650/8249,36188,NEP,Secondary Towns Integrated Urban Environment Improvement,SARD,,07/06/2010,17,DVA,,Partial Administration,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
OFID,2010,8253,2672/2673/0220/8253,38558,CAM,Water Resources Management Sector Development Program (Project Loan),SERD,SEAE,09/23/2010,12,DVA,PS,Partial Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
OFID,2010,8255,0234/8255,,LAO,Second Northern Greater Mekong Subregion Transport Network Improvement,SERD,,11/25/2010,12,DVA,PS,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2011,8252,2217/2767/8252,38357-013,SRI,National Highways Sector,SARD,SATC,08/05/2011,8,DVA,,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2011,8257,2796/0267/8257,38426-023,NEP,Decentralized Rural Infrastructure and Livelihood (Additional Financing),SARD,SAER,10/31/2011,20,DVA,,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2011,8267,2836/8267,41076,PHI,Road Improvement and Institutional Development,SERD,SETC,12/15/2011,30,DVA,,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2011,8274,2785/0259/8274,41509,PNG,Rural Primary Health Services Delivery,PARD,PAUS,09/30/2011,9,DVA,,Partial Administration,Multilateral,Loan,Health and Social Protection,Sovereign
OFID,2012,8259,0301/8259,45432-002,TAJ,Central Asia Regional Economic Cooperation Corridor 6 (Ayni-Uzbekistan Border Road) Improvement,CWRD,CWTC,09/11/2012,14,DVA,FW,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2012,8263,2949/8263,40540-014,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,30,DVA,PS,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
OFID,2012,8264,2979/8264/0468,42361-014,CAM,Medium-Voltage Sub-Transmission Expansion Sector,SERD,SEEN,12/14/2012,10,DVA,PS,Partial Administration,Multilateral,Loan,Energy,Sovereign
OFID,2013,8269,3000/0342/8269,43524-014,NEP,Kathmandu Valley Wastewater Management,SARD,SAUW,04/26/2013,16,DVA,FW,Partial Administration,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
OFID,2014,8285,3142/8285,39295-013,BAN,Third Urban Governance and Infrastructure Improvement (Sector),SARD,SAUW,07/17/2014,40,DVA,FW,Partial Administration,Multilateral,Loan,Water and Other Urban Infrastructure and Services,Sovereign
OFID,2014,8288,3124/8288,33209-014,NEP,Community-Managed Irrigated Agriculture Sector ﾖ Additional Financing,SARD,SAER,11/25/2014,30,DVA,FW,Partial Administration,Multilateral,Loan,"Agriculture, Natural Resources and Rural Development",Sovereign
OFID,2014,8304,3157/0405/8304,35173-013,NEP,Third Small Towns Water Supply and Sanitation Sector,SARD,SAUW,09/19/2014,20,DVA,FW,Partial Administration,Multilateral,Loan,Water and Other Urban Infrastructure and Services,Sovereign
OFID,2015,8303,3250/0471/8303,45041-002,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,15,DVA,FW,Partial Administration,Multilateral,Loan,Transport,Sovereign
Phu Bia Mining Limited,,,,,,,,,,6,,,,,,,
Phu Bia Mining Limited,2013,363,3041/0363,45301-002,LAO,Water Supply and Sanitation Sector,SERD,SEUW,10/09/2013,6,DVA,PS,Full Administration,Private Sector,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
PRIF,,,,,,,,,,12.79,,,,,,,
PRIF,2010,2718 (CG),2718,44281-013,KIR,Road Rehabilitation,PARD,SPSO,12/10/2010,4.61,DVA,Others,Collaborative,Multilateral,Grant,Transport and ICT,Sovereign
PRIF,2011,,2718,44281-013,,Road Rehabilitation,PARD,SPSO,03/01/2011,1.18,Non-DVA,PS,,Multilateral,Grant,Transport and ICT,Sovereign
PriF,2015,,2718,44281-013,KIR,Road Rehabilitation (Supplementary),PARD,SPSO,06/23/2015,7,DVA,PS,Collaborative,Multilateral,Grant,Transport,Sovereign
P.R.C.,,,,,,,,,,432.89,,,,,,,
P.R.C.,2002,,1989,,LAO,GMS: Northern Economic Corridor,SERD,SEID,12/20/2002,30,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
P.R.C.,2004,,2087,35377-01,MON,Regional Road Development,EARD,EATC,07/22/2004,3.2,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
P.R.C.,2009,,2505/7291,,PRC,Small Hydropower Development,PSOD,PSIF2,01/13/2009,14.6,Non-DVA,,,Bilateral,Loan,Energy,Non-Sovereign
P.R.C.,2012,,2962,43031-013,PRC,Hunan Xiangjiang Inland Waterway Transport,EARD,EATC,12/07/2012,65.4,DVA,PS,Collaborative,Bilateral,Loan,Transport and ICT,Sovereign
P.R.C.,2013,3075,3075,46058-002,PRC,Qinghai Delingha Concentrated Solar Thermal Power,EARD,EAEN,12/02/2013,75.58,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
"P.R.C.,China Construction Bank",2015,,3308,47051-002,PRC,Chemical Industry Energy Efficiency and Emission Reduction,EARD,EAOD,10/30/2015,81.73,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
"P.R.C.,SpDB",2014,,3218,47052-002,PRC,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region,EARD,EAEN,12/09/2014,162.38,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
Saudi Arabia,,,,,,,,,,524.7,,,,,,,
Saudi Arabia,1975,,0252-0253,,PAK,Mirpur Mathelo Fertilizer,CWRD,,12/18/1975,80,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
Saudi Arabia,1976,,277,,INO,Second Road,SERD,,10/28/1976,50,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Saudi Arabia,1978,,0390-0391,,PAK,Pipri Thermal Generation,CWRD,,12/22/1978,92,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Saudi Arabia,1979,,440,,THA,Mae Moh (Unit 4) Power,SERD,SEID,12/14/1979,32.2,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Saudi Arabia,1981,,516,,PAK,Pipri II Thermal Generation,CWRD,,06/23/1981,46,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Saudi Arabia,1981,,541,,BAN,Chittagong Urea Fertilizer,SARD,BRM,11/01/1981,85,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
Saudi Arabia,1984,,685,,INO,Arakundo-Jambu Aye Irrigation & Flood Control,SERD,,07/05/1984,26.5,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Saudi Arabia,1984,,688,,INO,Seventh Port (Surabaya Phase II),SERD,,08/28/1984,20,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Saudi Arabia,1984,,689,,MAL,Third Penang Port Expansion,SERD,,08/28/1984,30,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Saudi Arabia,1984,,700,17055,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,52,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Saudi Arabia,2005,,2205-2206,35457,AZE,East-West Highway Improvement,CWRD,CWTC,12/08/2005,11,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
SCF-PPCR,,,,,,,,,,243.09,,,,,,,
SCF-PPCR,2011,278,2839/G0278/8254,43309,CAM,Provincial Roads Improvement,SERD,SETC,12/16/2011,7,DVA,CFA/TF,Full Administration,Global Fund,Grant,Transport and ICT,Sovereign
SCF-PPCR,2011,8254,2839/G0278/8254,43309-013,CAM,Provincial Roads Improvement,SERD,SETC,12/16/2011,10,DVA,,Full Administration,Global Fund,Loan,Transport and ICT,Sovereign
SCF-PPCR,2012,310,2913/0310/8258,45084-002,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,10,DVA,PS,Full Administration,Global Fund,Grant,Transport and ICT,Sovereign
SCF-PPCR,2012,330,2970/0330/8262,40190-013,CAM,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,SERD,SEER,12/12/2012,5.8,DVA,CFA/TF,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
SCF-PPCR,2012,335,2983/0334/0335/8265,43319-033,CAM,Greater Mekong Subregion Southern Economic Corridor Towns Development,SERD,SEUW,12/10/2012,4.4,DVA,PS,Full Administration,Global Fund,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
SCF-PPCR,2012,8258,2913/0310/8258,45084-002,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,20,DVA,PS,Full Administration,Global Fund,Loan,Transport and ICT,Sovereign
SCF-PPCR,2012,8262,2970/0330/8262,40190-013,CAM,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,SERD,SEER,12/12/2012,4,DVA,CFA/TF,Full Administration,Global Fund,Loan,Agriculture and Natural Resources,Sovereign
SCF-PPCR,2012,8265,2983/0334/0335/8265,43319-033,CAM,Greater Mekong Subregion Southern Economic Corridor Towns Development,SERD,SEUW,12/10/2012,5,DVA,PS,Full Administration,Global Fund,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
SCF-PPCR,2013,350,3006/3007/0349/0350/8271,44321-013,CAM,Climate-Resilient Rice Commercialization Sector Development Program,SERD,SEER,06/27/2013,4.5,DVA,CFA/TF,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
SCF-PPCR,2013,352,352,45354-002,TAJ,Building Climate Resilience in the Pyanj River Basin,CWRD,CWER,07/25/2013,21.55,DVA,CFA/TF,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
SCF-PPCR,2013,357,0357/0358,44214-024,NEP,Building Climate Resilience of Watersheds in Mountain Eco-Regions,SARD,SAER,09/23/2013,23.54,DVA,CFA/TF,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
SCF-PPCR,2013,378,378,46351-002,TON,Climate Resilience Sector,PARD,SPSO,12/09/2013,19.25,DVA,CFA/TF,Full Administration,Global Fund,Grant,Multisector,Sovereign
SCF-PPCR,2013,8271,3006/3007/0349/0350/8271,44321-013,CAM,Climate-Resilient Rice Commercialization Sector Development Program,SERD,SEER,06/27/2013,5,DVA,CFA/TF,Full Administration,Global Fund,Loan,Agriculture and Natural Resources,Sovereign
SCF-PPCR,2014,394,3133/0394/0395/8284,44212-013,BAN,Coastal Towns Environmental Infrastructure,SARD,SAUW,06/27/2014,10.4,DVA,PS,Full Administration,Global Fund,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
SCF-PPCR,2014,8284,3133/0394/0395/8284,44212-013,BAN,Coastal Towns Environmental Infrastructure,SARD,SAUW,06/27/2014,30,DVA,PS,Full Administration,Global Fund,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
SCF-PPCR,2014,8287,3158/8287,48901-014,REG,Spice Value Chain Development Project,PSOD,PSIF1,09/04/2014,5,DVA,PS,Full Administration,Global Fund,Loan,"Agriculture, Natural Resources and Rural Development",Sovereign
SCF-PPCR,2015,426,426,40253-033,CAM,Greater Mekong Subregion Biodiversity Conservation CorridorsﾗAdditional Financing,SERD,SEER,03/13/2015,7.4,DVA,PS,Full Administration,Global Fund,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
SCF-PPCR,2015,447,447,46495-002,PNG,Building Climate Resilience to Climate Change in Papua New Guinea,PARD,PATE,10/21/2015,24.25,DVA,PS,Full Administration,Global Fund,Grant,Public Sector Management,Sovereign
SCF-PPCR,2015,454,3311/0454/8295,42285-013,CAM,Integrated Urban Environmental Management in the Tonle Sap Basin,SERD,SEUW,11/10/2015,5,DVA,PS,Full Administration,Global Fund,Grant,Water and Other Urban Infrastructure and Services,Sovereign
SCF-PPCR,2015,467,3151/401-2/466-7/8299-300,42334-014,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,9,DVA,PS,Full Administration,Global Fund,Grant,Transport,Sovereign
SCF-PPCR,2015,8295,3311/0454/8295,42285-013,CAM,Integrated Urban Environmental Management in the Tonle Sap Basin,SERD,SEUW,11/10/2015,5,DVA,PS,Full Administration,Global Fund,Loan,Water and Other Urban Infrastructure and Services,Sovereign
SCF-PPCR,2015,8300,3151/401-2/466-7/8299-300,42334-014,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,7,DVA,PS,Full Administration,Global Fund,Loan,Transport,Sovereign
SCF-SREP,,,,,,,,,,23.2,,,,,,,
SCF-SREP,2014,398,3139/0397/0398,44219-014,NEP,South Asia  Subregional Economic Cooperation Power System Expansion,SARD,SAEN,07/04/2014,11.2,DVA,PS,Full Administration,Global Fund,Grant,Energy,Sovereign
SCF-SREP,2014,410,0409/0410/0429,46122-003,MLD,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,12,DVA,PS,Full Administration,Global Fund,Grant,Energy,Sovereign
Singapore,,,,,,,,,,1.7,,,,,,,
Singapore,1987,,875,,PHI,Second Manila Port,SERD,,12/15/1987,1.7,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Spain,,,,,,,,,,21.51,,,,,,,
Spain,1997,,1561,26451,BAN,Jamuna Bridge Railway Link,SARD,SATC,10/02/1997,6.96,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Spain,1998,,1599,,PHI,Subic Bay Area Municipal Development,SERD,,03/02/1998,1,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Spain,2005,,2194,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,2.4,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Spain,2006,,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,3.8,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Spain,2007,,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,7,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Spain,2008,128,2474/0128,38301,PRC,Dryland Sustainable Agriculture,EARD,,11/25/2008,0.35,DVA,,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
SpDB,,,,,,,,,,162.38,,,,,,,
"P.R.C.,SpDB",2014,,3218,47052-002,PRC,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region,EARD,EAEN,12/09/2014,162.38,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
Sri Lanka,,,,,,,,,,1.6,,,,,,,
Sri Lanka,2002,,1910-1911,,SRI,Aquatic Resources Development and Quality Improvement,SARD,SAAE,09/05/2002,1.6,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
State Bank of India,,,,,,,,,,41.66,,,,,,,
"India,State Bank of India",2015,3225/3226,3225/3226,44444-013,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,41.66,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
Sweden,,,,,,,,,,198.25,,,,,,,
Sweden,1980,,505,,PAK,Load Despatch and Transmission,CWRD,,12/22/1980,4.3,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Sweden,1982,,585,,SRI,Technical Education,SARD,,09/30/1982,2.93,Non-DVA,,,Bilateral,Loan,Education,Sovereign
Sweden,1987,,846,,LAO,Xeset Hydropower,SERD,,10/27/1987,17.04,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Sweden,1990,,1063,,LAO,Xeset Hydropower (Supplementary),SERD,,12/11/1990,6.23,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Sweden,1992,,1199,,CAM,Special Rehabilitation Assistance,SERD,,11/26/1992,3.2,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Sweden,1997,,1581,28023,BAN,Third Rural Infrastructure Development,SARD,SAAE,11/20/1997,7.1,DVA,PS,Full Administration,Bilateral,Loan,Multisector,Sovereign
Sweden,1998,,1663-1665,,PHI,Metro Manila Air Quality Improvement Sector Dev. Program,SERD,SEOC,12/16/1998,0.6,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
Sweden,1998,,1663-1665,,PHI,Metro Manila Air Quality Improvement Sector Dev. Program,SERD,SEOC,12/16/1998,4.5,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Sweden,1999,,1711,26522-01,SRI,Southern Transport Dev,SARD,SAID,11/25/1999,1,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
Sweden,2001,,1844,31345,LAO,Second Education Quality Improvement,SERD,SESS,09/28/2001,9.6,Non-DVA,,,Bilateral,Grant,Education,Sovereign
Sweden,2002,4007,1953/4007(L)/4008(L),35274,CAM,Commune Council Development,SERD,SEGF,12/03/2002,3,DVA,,Full Administration,Bilateral,Grant,Public Sector Management,Sovereign
Sweden,2003,4209(L),2015/4209(L),30216,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,29,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
Sweden,2004,4314 (L),2076/4314(L),37115,VIE,Health Care in the Central Highlands,SERD,SESS,01/09/2004,5.58,DVA,PS,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
Sweden,2005,9,2172/0008/0009/0010,36296,BAN,Second Urban Primary Health Care,SARD,SASS,05/31/2005,5,DVA,PS,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
Sweden,2005,13,2168/7/13/75/0193,36601-013,SRI,North East Community Restoration and Development II,SARD,SLRM,04/14/2005,5.9,DVA,PS,Full Administration,Bilateral,Grant,Multisector,Sovereign
Sweden,2005,39,2156/0038/0039,38625,BAN,Emergency Flood Damage Rehabilitation,SARD,BRM,01/20/2005,14.7,DVA,PS,Full Administration,Bilateral,Grant,Multisector,Sovereign
Sweden,2005,4007,1953/4007(L)/4008(L),35274,CAM,Commune Council Development (Supplementary),SERD,SEGF,04/29/2005,0.57,DVA,PS,Full Administration,Bilateral,Grant,Public Sector Management,Sovereign
Sweden,2011,2761 (CG),2761,42122-013,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,45,DVA,,Collaborative,Bilateral,Grant,Education,Sovereign
Sweden,2012,298,2878/0298,42177-013,BAN,Urban Primary Health Care Services Delivery,SARD,SAHS,07/18/2012,20,DVA,PS,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
Sweden,2012,323,2695/0323,39298-013,BAN,City Region Development - Additional Financing,SARD,SAUW,11/08/2012,13,DVA,PS,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Switzerland,,,,,,,,,,127.05,,,,,,,
Switzerland,1975,,217,44236-01,BAN,Ashuganj Fertilizer,SARD,BRM,02/20/1975,8,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
Switzerland,1979,,396,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,5,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
Switzerland,1979,,440,,THA,Mae Moh (Unit 4) Power,SERD,SEID,12/14/1979,6.5,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Switzerland,1980,,502,,THA,Power System Expansion,SERD,,12/19/1980,1.75,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Switzerland,1982,,577,,INO,Second Agricultural Credit Package,SERD,,07/29/1982,0.43,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Switzerland,1984,,700,17055,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,10,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Switzerland,1984,,717,,THA,Mae Moh (Unit 8) Power,SERD,,12/11/1984,11.5,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Switzerland,1985,,736,,THA,Shelter Sector,SERD,,04/23/1985,0.58,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
Switzerland,1985,,760,,PAK,Tarbela Units 13 & 14 and 500 kV Transmission,CWRD,,11/28/1985,9.4,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Switzerland,1988,,928,,LAO,Nam-Ngum Luang Prabang Power Transmission,SERD,,12/06/1988,0.96,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Switzerland,1989,,974,16142,NEP,Technical Education and Vocational Training Development,SARD,,09/28/1989,4.37,Non-DVA,,,Bilateral,Loan,Education,Sovereign
Switzerland,1989,,976,,PAK,Swabi Salinity Control and Reclamation Project,CWRD,,10/26/1989,15.1,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Switzerland,1989,,993,,SRI,Agriculture Rehabilitation,SARD,SAAE,11/28/1989,4.5,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Switzerland,1996,,1443,,KGZ,Power & District Heating Rehab.,CWRD,,06/06/1996,4.6,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
Switzerland,2000,,1817,,TAJ,Power Rehabilitation,CWRD,,12/20/2000,6,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
Switzerland,2004,,2092,30232,NEP,Decentralized Rural Infrastructure and Livelihood,SARD,SAAE,09/24/2004,1.9,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
Switzerland,2006,56,2259/0056/8229,35297,LAO,Northern Region Sustainable Livelihoods through Livestock Development,SERD,SEAE,09/29/2006,3.5,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
Switzerland,2007,,0093/8234,,NEP,Rural Reconstruction and Rehabilitation Sector Development Program,SARD,,12/12/2007,1.5,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
Switzerland,2008,140,2425/0140,39408,BAN,Skills Development,SARD,SANS,12/17/2008,6,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
Switzerland,2008,3899(L),1881/3899(L),31309,BAN,Post-Literacy and Continuing Education (Supplementary),SARD,SASS,07/01/2008,2.5,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
Switzerland,2008,,0118/0206,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,3.4,Non-DVA,,,Bilateral,Grant,Public Sector Management,Sovereign
Switzerland,2009,3899(L),1881/3899(L),31309,BAN,Post-Literacy and Continuing Education (Supplementary) 2,SARD,SASS,06/10/2009,2.5,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
Switzerland,2011,2796 (CG),2796/0267/8257,38426-023,NEP,Decentralized Rural Infrastructure and Livelihood (Additional Financing),SARD,SAER,10/31/2011,7.06,DVA,,Collaborative,Bilateral,Grant,Transport and ICT,Sovereign
Switzerland,2014,391,3131/0391,42466-015,BAN,Skills for Employment Investment Program ﾖ Tranche 1,SARD,SAHS,06/03/2014,10,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
"Taipei,China",,,,,,,,,,6.7,,,,,,,
"Taipei,China",1992,,1211,23132,PNG,Third Urban Water Supply,PARD,,12/15/1992,6.7,DVA,,Collaborative,Bilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
Thailand,,,,,,,,,,55.5,,,,,,,
Thailand,1993,,1266,26366,LAO,Airports Improvement,SERD,SEID,11/18/1993,2,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Thailand,1999,,1727-1728,,REG,GMS: East-West Corridor (LAO and VIE),SERD,SEID,12/20/1999,25,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Thailand,2002,,1989,,LAO,GMS: Northern Economic Corridor,SERD,SEID,12/20/2002,28.5,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
TRACECA,,,,,,,,,,0.8,,,,,,,
TRACECA,2000,,1774-1775,,REG,Almaty-Bishkek Regional Road Rehabilitation (KAZ and KGZ Components),CWRD,CWID,10/31/2000,0.8,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
Trust Fund for Forests,,,,,,,,,,8,,,,,,,
Trust Fund for Forests,2006,60,2269/0060,34341,VIE,Forests for Livelihood Improvement in the Central Highlands Sector,SERD,SEAE,10/26/2006,8,DVA,PS,Full Administration,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
TYMTF,,,,,,,,,,5,,,,,,,
TYMTF,2016,472,3100/0472,46420-002,PHI,KALAHI-CIDSS National Community-Driven Development,SERD,SEHS,03/04/2016,5,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Education,Sovereign
UAE,,,,,,,,,,56.32,,,,,,,
UAE,1973,171,0171-0172,40641,PAK,Multan Fertilizer,CWRD,,12/19/1973,31.32,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
UAE,1981,,541,,BAN,Chittagong Urea Fertilizer,SARD,AWFN,11/17/1981,25,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
