,Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
464,Germany,2012,2913 (CG),2913/0310/8258,45084-002,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,8.8,DVA,PS,Collaborative,Bilateral,Grant,Transport and ICT,Sovereign
465,Germany,2012,2914 (CL),2914,41627-053,IND,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4,SARD,SAEN,10/02/2012,200.0,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
466,Germany,2012,,2956,39500-033,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,276.6,DVA,PS,Collaborative,Bilateral,Loan,Transport and ICT,Sovereign
467,Germany,2014,3164 (CL),3164,48134-001,INO,Stepping Up Investments for Growth Acceleration Program ﾖ Subprogram 1,SERD,SEPF,09/25/2014,200.0,DVA,FW,Collaborative,Bilateral,Loan,Public Sector Management,Sovereign
468,Germany,2015,,3303/8293,49043-001,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,200.0,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
469,Germany,No Approval Date,,2063,32499,PHI,Development of Poor Urban Communities Sector,SERD,SESS,,0.4,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
470,"Germany,Germany",2014,3119 (CG),3119/3120,42251-018,SRI,Skills Sector Enhancement Program,SARD,SAHS,03/28/2014,15.4,Non-DVA,PS,,Bilateral,Grant,Education,Sovereign
471,"Germany,KfW",2015,3356,3356,49232-001,PRC,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program,EARD,EASS,12/10/2015,166.65,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
472,"Germany,KfW",2015,3374,3374,42039-036,VIE,Power Transmission Investment Program-Tranche 3,SERD,SEEN,12/18/2015,71.0,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
473,"Germany,KfW",2015,,3083/8276,42362-013,INO,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing,SERD,SEEN,10/28/2015,57.0,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
474,"Germany,KfW",2015,,3365,44426-016,IND,Green Energy Corridor and Grid Strengthening,SARD,SAEN,12/09/2015,625.0,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
476,GPE,2015,,3256,42122-013,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,100.0,DVA,PS,Collaborative,Multilateral,Grant,Education,Sovereign
478,HFPF-RMTF,2015,448,2699/0231/0448,41505-013,CAM,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,4.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Health,Sovereign
479,HFPF-RMTF,2015,449,2699/0232/0449,41507-013,LAO,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,3.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Health,Sovereign
480,HFPF-RMTF,2015,450,2699/0450,41508-014,VIE,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,2.5,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Health,Sovereign
482,HIV/AIDS Cooperation Fund,2007,102,2398-2399/0102,40037,PNG,Lae Port Development,PARD,PAHQ,12/18/2007,0.75,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Transport and ICT,Sovereign
484,IFAD,1977,,0324/0612,15048,SRI,Kirindi Oya Irrigation and Settlement,SARD,,12/09/1977,12.0,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
485,IFAD,1978,,378,11040,BAN,Pabna Irrigation and Rural Development,SARD,SAAE,12/12/1978,30.0,DVA,PS,Full Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
486,IFAD,1978,,387,,NEP,Integrated Rural Development,SARD,SAAE,12/20/1978,13.0,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
487,IFAD,1979,,396,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,8.0,DVA,PS,Full Administration,Multilateral,Loan,Industry and Trade,Sovereign
488,IFAD,1979,,418,,LAO,Casier Sud Pioneer Agricultural,SERD,SEAE,10/29/1979,6.1,DVA,PS,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
489,IFAD,1979,,428,12035,PAK,South Rohri Fresh Groundwater Irrigation,CWRD,SAAE,11/27/1979,16.0,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
490,IFAD,1980,,496,13045,SRI,Anuradhapura Dry Zone Agriculture,SARD,SAAE,12/15/1980,14.5,DVA,,Partial Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
491,IFAD,1981,,526,,SRI,Coconut Development,SARD,SAAE,09/24/1981,8.0,DVA,,Collaborative,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
492,IFAD,1981,,548,,PHI,Smallholder Livestock Development,SERD,,11/25/1981,8.0,DVA,,Collaborative,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
493,IFAD,1981,,560,14049,NEP,Command Area Development,SARD,SAAE,12/15/1981,11.1,DVA,PS,Collaborative,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
494,IFAD,1982,,0324/0612,15048,SRI,Kirindi Oya Irrigation and Settlement (Supp.),SARD,,12/09/1982,6.0,DVA,,Collaborative,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
495,IFAD,1982,,615,15077,BAN,Northwest Rural Development,SARD,SAAE,12/14/1982,14.5,DVA,PS,Full Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
496,IFAD,1983,,624,16125,TON,Development and Redevelopment,PARD,,04/26/1983,1.0,DVA,,,Multilateral,Loan,Multisector,Sovereign
497,IFAD,1983,,627,16003,INO,Irrigation Package II,SERD,SEAE,05/19/1983,25.0,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
498,IFAD,1983,,646,17086,SOL,Agricultural Development,PARD,,10/29/1983,1.5,DVA,PS,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
499,IFAD,1985,,734,17017,PAK,Gujranwala Agricultural Development,CWRD,,02/19/1985,8.5,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
500,IFAD,1985,,772,18100,PAK,Pat Feeder Canal Rehabilitation and Improvement,CWRD,,12/17/1985,28.55,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
501,IFAD,1986,,792,18095,NEP,Second Aquaculture Development,SARD,AWAR,10/09/1986,5.0,DVA,,Collaborative,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
502,IFAD,1986,,802,16115,PHI,Highland Agriculture Development,SERD,,11/25/1986,4.6,DVA,,Collaborative,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
503,IFAD,1987,,838,20171,PAK,Chitral Area Development,CWRD,,08/27/1987,11.1,DVA,PS,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
504,IFAD,1990,,1012,21220,PAK,Second Barani Area Development,CWRD,,02/20/1990,19.4,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
505,IFAD,1990,,1044,23373,PAK,Agricultural Credit,CWRD,SAGF,11/06/1990,25.0,DVA,PS,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
506,IFAD,1996,,1381/2564,,BAN,Beneficiary Participation and Project Management,SARD,AWAR,05/02/1996,10.4,DVA,,Partial Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
507,IFAD,1996,,1421,,PHI,Cordillera Highland Agricultural Resource (blended 1421/1422),SERD,,01/11/1996,5.32,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
508,IFAD,1996,,1435,,PHI,Rural Microenterprise Finance,SERD,,04/23/1996,13.49,DVA,,,Multilateral,Loan,Finance,Sovereign
509,IFAD,1997,,1581,28023,BAN,Third Rural Infrastructure Development,SARD,SAAE,11/20/1997,11.0,DVA,,Full Administration,Multilateral,Loan,Multisector,Sovereign
510,IFAD,1997,,1583,29456,INO,Rural Income Generation,SERD,SEAE,11/25/1997,20.28,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
511,IFAD,2000,,1787/8195,29586,PAK,North West Frontier Province Barani Area Development - Phase II,CWRD,SAAE,11/28/2000,14.8,DVA,PS,Partial Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
512,IFAD,2006,8229,2259/0056/8229,35297,LAO,Northern Region Sustainable Livelihoods through Livestock Development,SERD,SEAE,09/29/2006,3.0,DVA,,Partial Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
513,IFAD,2009,145,0144-0145,,LAO,Sustainable Natural Resource Management and Productivity Enhancement,SERD,,02/23/2009,15.0,DVA,,Partial Administration,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
514,IFAD,2009,192,2599/0186/0191/0192/8243,,CAM,Tonle Sap Poverty Reduction and Smallholder Development,SERD,,12/08/2009,6.69,DVA,,Full Administration,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
515,IFAD,2009,8243,2599/0186/0191/0192/8243,41435,CAM,Tonle Sap Poverty Reduction and Smallholder Development,SERD,,12/08/2009,6.69,DVA,,Partial Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
516,IFAD,2009,8248,2542,39432,BAN,Participatory Small-Scale Water Resources Sector,SARD,SANS,09/04/2009,22.0,DVA,PS,Partial Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
517,IFAD,2010,,2542,39432,BAN,Participatory Small-Scale Water Resources Sector (Supplementary),SARD,SANS,07/29/2010,10.0,DVA,PS,Partial Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
518,IFAD,2012,2913 (CG),2913/0310/8258,45084-002,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,1.0,DVA,PS,Collaborative,Multilateral,Grant,Transport and ICT,Sovereign
519,IFAD,2012,2913 (CL),2913/0310/8258,45084-002,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,59.0,DVA,PS,Collaborative,Multilateral,Loan,Transport and ICT,Sovereign
520,IFAD,2012,8266,2957/0324-0325/8266,41220-013,PHI,Integrated Natural Resources and Environmental Management,SERD,SEER,12/03/2012,20.0,DVA,PS,Partial Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
521,IFAD,2014,,3198,47300-002,LAO,Northern Smallholder Livestock Commercialization,SERD,SEER,11/24/2014,5.0,DVA,PS,Collaborative,Multilateral,Loan,"Agriculture, Natural Resources and Rural Development",Sovereign
522,IFAD,2014,,3198,47300-002,LAO,Northern Smallholder Livestock Commercialization,SERD,SEER,11/24/2014,5.0,DVA,PS,Collaborative,Multilateral,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
524,ILO,2000,,1772,30552,PHI,Infrastructure for Rural Productivity Enhancement Sector,SERD,SEAE,10/31/2000,1.0,Non-DVA,,,Multilateral,Grant,Multisector,Sovereign
526,IMF,1991,,1109,,MON,Special Assistance,EARD,,10/29/1991,30.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
528,India,1975,,231,,SRI,Urea Fertilizer,SARD,,09/18/1975,12.5,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
529,"India,Export-Import Bank of India",2015,3225/3226,3225/3226,44444-013,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,17.16,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
530,"India,State Bank of India",2015,3225/3226,3225/3226,44444-013,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,41.66,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
532,International Federation of Red Cross and Red Crescent Society,2010,246,2626/0246,44065-013,SRI,Conflict-Affected Region Emergency,SARD,SLRM,04/15/2010,1.5,DVA,PS,Full Administration,Multilateral,Grant,Transport,Sovereign
534,Iran,1975,,217,44236-01,BAN,Ashuganj Fertilizer,SARD,BRM,02/20/1975,12.5,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
535,Iran,2002,,1903,35496,UZB,Western Uzbekistan Rural Water Supply,CWRD,URM,05/02/2002,12.0,Non-DVA,,,Bilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
537,Ireland,2005,,2194,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,1.8,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
538,Ireland,2006,,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,3.8,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
539,Ireland,2007,,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,10.0,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
541,IsDB,1978,8030,0389/8030,48192,INO,South-East Sulawesi Transmigration and  Area Development,SERD,,12/22/1978,10.01,DVA,,Partial Administration,Multilateral,Loan,Multisector,Sovereign
542,IsDB,1979,,426,40253-033,,Bintulu Deepwater Port,SERD,,11/23/1979,10.2,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
543,IsDB,1981,,541,,BAN,Chittagong Urea Fertilizer,SARD,AWFN,11/01/1981,16.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
544,IsDB,1983,,673,,MAL,Second Vocational Education,SERD,,12/20/1983,8.3,Non-DVA,,,Multilateral,Loan,Education,Sovereign
545,IsDB,1984,,693,,INO,Fisheries Infrastructure Sector,SERD,SEAE,09/25/1984,10.7,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
546,IsDB,1984,,700,17055,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,11.5,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
547,IsDB,1986,,796,,BAN,Chittagong Urea Fertilizer (Supplementary),SARD,,11/13/1986,2.23,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
548,IsDB,1989,,957,,PAK,Flood Damage Restoration,CWRD,,03/30/1989,10.0,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
549,IsDB,1996,,1424,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,40.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
550,IsDB,1996,,1467,,PAK,Bahawalpur Rural Development,CWRD,SAAE,09/26/1996,7.0,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
551,IsDB,1999,,1695,,MLD,Regional Development,SARD,,09/02/1999,5.86,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
552,IsDB,2000,,1817,,TAJ,Power Rehabilitation,CWRD,,12/20/2000,9.3,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
553,IsDB,2003,,2006,34234,KAZ,Rural Area Water Supply and Sanitation Sector,CWRD,CWSS,09/29/2003,9.5,Non-DVA,,,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
554,IsDB,2005,,2198,,PAK,New Bong Escape Hydropower (Laraib Energy Limited),PSOD,PSIF,11/21/2005,37.3,Non-DVA,,,Multilateral,Loan,Energy,Non-Sovereign
555,IsDB,2005,,2205-2206,35457,AZE,East-West Highway Improvement,CWRD,CWTC,12/08/2005,10.4,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
556,IsDB,2006,,2303/8230,40043-01,TAJ,Regional Power Transmission Interconnection,CWRD,CWID,12/19/2006,10.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
557,IsDB,2006,,2304,40043-02,AFG,Regional Power Transmission Interconnection (Afghanistan and Tajikistan),CWRD,CWID,12/19/2006,16.5,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
558,IsDB,2008,,2453/2454/0253/0254,40517-013,BAN,Public-Private Infrastructure Development Facility,SARD,SAGF,10/02/2008,100.0,Non-DVA,,,Multilateral,Loan,Finance,Sovereign
559,IsDB,2009,,2562,41121,KAZ,CAREC Transport Corridor I (Zhambyl Oblast Section)[Western Europe-Western People' Republic of China International Transit Corridor] Investment Program - Tranche 2,CWRD,CWTC,10/07/2009,170.0,DVA,FW,Collaborative,Multilateral,Loan,Transport and ICT,Sovereign
560,IsDB,2010,2701 (CL),2701-2702,35049,BAN,Padma Multipurpose Bridge,SARD,SATC,11/25/2010,140.0,DVA,FW,Collaborative,Multilateral,Loan,Transport and ICT,Sovereign
561,IsDB,2011,2769 (CL),2769,37113-013,BAN,Power System Efficiency Improvement,SARD,SAEN,08/11/2011,200.0,DVA,,Collaborative,Multilateral,Loan,Energy,Sovereign
562,IsDB,2011,2817 (CL),2817,38479-034,INO,Regional Roads Development,SERD,SETC,11/24/2011,65.0,DVA,,Collaborative,Multilateral,Loan,Transport and ICT,Sovereign
563,IsDB,2012,2966 (CL),2966/0320,42378-015,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,85.0,DVA,PS,Collaborative,Multilateral,Loan,Energy,Sovereign
564,IsDB,2012,,2867/0290,43566-013,MLD,"Inclusive Micro, Small, and Medium-sized Enterprise Development",SARD,SAPF,05/25/2012,10.3,DVA,,Collaborative,Multilateral,Loan,Industry and Trade,Sovereign
565,IsDB,2013,3087 (CL),3087,42378-016,BAN,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2,SARD,SAEN,12/09/2013,220.0,DVA,FW,Collaborative,Multilateral,Loan,Energy,Sovereign
566,IsDB,2013,,3090/3091/3092,47094-001,PAK,Jamshoro Power Generation,CWRD,CWEN,12/09/2013,150.0,DVA,FW,Collaborative,Multilateral,Loan,Energy,Sovereign
567,IsDB,2014,,0409/0410/0429,46122-003,MLD,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,10.0,DVA,FW,Collaborative,Multilateral,Loan,Energy,Sovereign
568,IsDB,2014,,3090/3091/3092,47094-001,PAK,Jamshoro Power Generation (Supplementary),CWRD,CWEN,02/27/2014,70.0,DVA,FW,Collaborative,Multilateral,Loan,Energy,Sovereign
569,IsDB,2015,3350,3350,42378-017,BAN,Power System Expansion and Efficiency Improvement Investment ProgramﾗTranche 3,SARD,SAEN,12/08/2015,220.0,DVA,FW,Collaborative,Multilateral,Loan,Energy,Sovereign
570,IsDB,2015,,3271,44318-026,UZB,Housing for Integrated Rural Development Investment ProgramﾗTranche 3,CWRD,CWPF,08/20/2015,100.0,DVA,FW,Collaborative,Multilateral,Loan,Finance,Sovereign
572,Italy,1985,,770,,PAK,Second Pirkoh Gas Development,CWRD,,12/12/1985,5.0,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
574,ITU,1989,,960,,SAM,Second Telecommunications,PARD,,06/01/1989,0.1,Non-DVA,,,Multilateral,Grant,Transport and ICT,Sovereign
576,Japan,1970,28,28,37218-01,LAO,Tha Ngon Agricultural Development,SERD,,03/10/1970,0.63,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
577,Japan,1970,,33,36252,INO,Pusri Fertilizer Plant Expansion,SERD,SERD,06/04/1970,12.7,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
578,Japan,1970,,50,,THA,Power Transmission and SubStation Expansion,SERD,,12/17/1970,15.5,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
579,Japan,1976,,0279-0280,,PAK,Port Qasim,CWRD,,11/18/1976,1.01,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
580,Japan,1978,,372,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,75.62,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
581,Japan,1979,,414,46455-002,,Upper Warangoi Hydropower,PARD,PARD,08/27/1979,14.8,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
582,Japan,1979,,426,40253-033,,Bintulu Deepwater Port,SERD,,11/23/1979,58.2,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
583,Japan,1979,,443,46455-004,,Second Bangkok Water Supply,SERD,,12/17/1979,35.0,Non-DVA,,,Bilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
584,Japan,1980,,0,,INO,Equipment Supply for Local Roads Support Works,SERD,,07/29/1980,17.4,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
585,Japan,1981,,521,,MAL,Batang-Ai Hydropower,SERD,,09/17/1981,65.8,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
586,Japan,1981,,541,,BAN,Chittagong Urea Fertilizer,SARD,BRM,11/17/1981,83.21,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
587,Japan,1984,,717,,THA,Mae Moh (Unit 8) Power,SERD,,12/11/1984,6.57,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
588,Japan,1984,,718,,THA,Rural Telecommunications,SERD,,12/11/1984,13.2,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
589,Japan,1985,,735,,THA,Third Bangkok Water Supply,SERD,,03/21/1985,88.6,Non-DVA,,,Bilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
590,Japan,1985,,772,18100,PAK,Pat Feeder Canal Rehabilitation and Improvement,CWRD,,12/17/1985,5.3,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
591,Japan,1986,,796,,BAN,Chittagong Urea Fertilizer (Supplementary),SARD,,11/13/1986,23.36,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
592,Japan,1986,,828,,THA,Mae Moh (Unit 9) Power,SERD,,12/23/1986,6.28,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
593,Japan,1987,,0,,INO,Local Road Dev Project,SERD,,12/08/1987,84.75,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
594,Japan,1987,,835,16004,INO,Power XIX Sector,SERD,,08/20/1987,27.5,DVA,,,Bilateral,Loan,Energy,Sovereign
595,Japan,1987,,839,,BAN,Road Improvement,SARD,,08/27/1987,82.0,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
596,Japan,1987,,857,2115,IND,Railways,SARD,,11/10/1987,110.0,DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
597,Japan,1988,,0,,INO,Local Currency Financing for ADB-Assisted Projects,SERD,,10/21/1988,46.6,Non-DVA,,,Bilateral,Loan,Multisector,Sovereign
598,Japan,1988,,889,16116,PHI,Forestry Sector Program,SERD,SEAE,06/28/1988,120.0,DVA,,Collaborative,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
599,Japan,1988,,925,17003,PAK,KESC Fifth Power (Sector),CWRD,,11/24/1988,100.0,DVA,,Collaborative,Bilateral,Loan,Energy,Sovereign
600,Japan,1988,,9999INO2,,INO, Second Untied Loan (17 Bank Projects)  ,SERD,,08/09/1988,576.0,DVA,,Collaborative,Bilateral,Loan,Multisector,Sovereign
