,Donor,Unnamed: 1,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
123,Asian Development Bank,Australia,2011,2011,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (2nd Supplementary),PARD,,06/08/2011,,,,,0.00,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,3701,Road Transport (Non-Urban),,,Sustainable Economic Growth,,,,,,,,,,,,Related to Grant 0175-0177 in 2009,
125,Asian Development Bank,Australia,2012,2012,0210,0175/0176/0177/0207/0210,43381-054,,,SOL,Second Road Improvement (Sector) (3rd Supplementary),PARD,PAOD,03/15/2012,,,,,0.00,,,,,,,,,,,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,,
127,Asian Development Bank,"Australia,New Zealand,EC",2010,2010,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (Supplementary),PARD,,05/20/2010,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,,
129,Asian Development Bank,"Australia,New Zealand",2010,2010,,0243,,,,SOL,Transport Sector Development,PARD,,12/15/2010,0.00,0.00,12.00,,12.00,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,"is ADF grant, not an ADF loan based on COSO doc;  WITH PIGGYBACKED CDTA 7715, $800,000 BY JFPR; no project number ",
130,Australia,Australia,2010,2010,0243 (CG1),0243,,,,SOL,Transport Sector Development,PARD,,12/15/2010,,,,,0.00,30.00,,,30.00,DVA,,Collaborative,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,,,12/15/2010,02/25/1976,,07/17/1976,,Sovereign,,,,,
132,Asian Development Bank,Australia,2011,2011,,0264/0265,42394,,,TON,Nuku'alofa Urban Sector Development,PARD,PAUS,10/17/2011,,,6.06,,6.06,,,,,,,,,,ADF Grant,3800.0,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,Environment Sustainability,,,,,,,,,,,,"formerly known as Integrated Urban Development Sector Project, Phase II",
133,Australia,Australia,2011,2011,0265,0264/0265,4239402,,,TON,Nuku'alofa Urban Sector Development,PARD,PAUS,10/17/2011,,,,,0.00,6.44,,,6.44,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3800.0,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,10/17/2011,04/10/2012,,,,Sovereign,,,,,
135,Asian Development Bank,"Australia,Denmark,Finland,Norway,U.K.,EC,FTI,World Bank,UNICEF",2011,2011,,0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,65.00,,65.00,,,,,,,,,,,3100.0,Education,,,,,,,,,,,,,,,,,Supplementary financing Grant 0289 was approved in 2012,DR 2011. para on grant cof and new proj pp 15.
136,Australia,Australia,2011,2011,0272 (CG),0272/0289,35174-082,,,NEP,School Sector Program,SARD,SAHS,11/22/2011,,,,,0.00,15.60,,,15.60,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,
138,Asian Development Bank,Australia,2012,2012,0289,0272/0289,35174-082,,,NEP,School Sector Program (Supplementary),SARD,SAHS,03/28/2012,,,,,0.00,,,,,,,,,,,3100.0,Education,,,,,,,,,,,,,,,,,,
139,Australia,Australia,2012,2012,0289,0272/0289,35174-082,,,NEP,School Sector Program (Supplementary),SARD,SAHS,03/28/2012,,,,,0.00,3.47,,,3.47,DVA,PS,Full Administration,Bilateral,Grant,,3100.0,Education,,,11/03/2011,,,Yes,,03/28/2012,,,,,Sovereign,,,,$3.465,
141,Asian Development Bank,"Australia,New Zealand,U.K.",1976,1976,,0289,,,,SOL,Beef Cattle Development,PARD,,12/21/1976,0.00,3.57,0.00,,3.57,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
142,Australia,Australia,1976,1976,,0289,,,,SOL,Beef Cattle Development,PARD,,12/21/1976,,,,,0.00,,1.54,,1.54,Non-DVA,,,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,12/21/1976,,,,,Sovereign,,,,,
144,Asian Development Bank,"Australia,OFID",1977,1977,,0334/8009,,,,NEP,Sagarnath Forestry Development,SARD,SAAE,12/20/1977,0.00,4.90,0.00,,4.90,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,no project number,
145,Australia,Australia,1977,1977,,0334/8009,,,,NEP,Sagarnath Forestry Development,SARD,SAAE,12/20/1977,,,,,0.00,0.46,,,0.46,Non-DVA,,,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,12/20/1977,,,,,Sovereign,,,,,
147,Asian Development Bank,Australia,2013,2013,0336,0336,45303-001,,,CAM,Rural Energy,SERD,SEEN,01/15/2013,,,,,0.00,,,,,,,,,,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,Sustainable Economic Growth,,,,,,,,,,,,,
148,Australia,Australia,2013,2013,0336,0336,45303-001,,,CAM,Rural Energy,SERD,SEEN,01/15/2013,,,,,0.00,6.11,,,6.11,DVA,PS,Full Administration,Bilateral,Grant,,3200.0,Energy,,Electricity Transmission and Distribution,,,,No,,01/15/2013,,,,,Sovereign,,,,"from AusAID; $4.11 million is denominated in US$, A$2 million assumes exchange rate of A$1 = US$1",
150,Asian Development Bank,Australia,2015,2015,0336,0336,45303-001,,,CAM,Rural Energy—Additional Financing,SERD,SEEN,08/07/2015,,,,,0.00,,,,,,,,,,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,Sustainable Economic Growth,,,,,,,,,,,,,
151,Australia,"Australia,Australia",2015,2015,0336,0336,45303-001,,,CAM,Rural Energy—Additional Financing,SERD,SEEN,08/07/2015,,,,,0.00,0.36,,,0.36,DVA,PS,Full Administration,Bilateral,Grant,,3200.0,Energy,,Electricity Transmission and Distribution,,,,Yes,,08/07/2015,,,,,Sovereign,,,,"$363,645 actual grant mount",
153,Asian Development Bank,Australia,2013,2013,0348,0347/0348/0444/0445/0446,43452-022,,,TON,Outer Island Renewable Energy,PARD,PATE,06/27/2013,,,2.00,,2.00,,,,,,,,,,,3200.0,Energy,3203,Renewable Energy,,,Sustainable Economic Growth,,,,,,,,,,,,,
154,Australia,Australia,2013,2013,0348,0347/0348/0444/0445/0446,43452-023,,,TON,Outer Island Renewable Energy,PARD,PATE,06/27/2013,,,,,0.00,4.50,,,4.50,DVA,PS,Full Administration,Bilateral,Grant,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,,No,,06/27/2013,,,,,Sovereign,,,,,
156,Asian Development Bank,"Australia,Japan,Kuwait",1978,1978,,0372,,,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,45.40,0.00,0.00,,45.40,,,,,,,,,,OCR,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
157,Australia,Australia,1978,1978,,0372,,,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,,,,,0.00,,4.50,,4.50,Non-DVA,,,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,12/05/1978,,,,,Sovereign,,,,,
159,Asian Development Bank,Australia,2015,2015,0443,0414/0424/0443,46455-004,,,NAU,Electricity Supply Security and Sustainability—Additional Financing,PARD,PLCO,10/16/2015,,,,,0.00,,,,,,,,,,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,,,,,,,,,,,,,,
160,Australia,Australia,2015,2015,0443,0414/0424/0443,46455-004,,,NAU,Electricity Supply Security and Sustainability—Additional Financing,PARD,PLCO,10/16/2015,,,,,0.00,4.74,,,4.74,DVA,PS,Full Administration,Bilateral,Grant,,3200.0,Energy,,,,,,Yes,,10/16/2015,,,,,Sovereign,,,,,
162,Asian Development Bank,Australia,2015,2015,0439,0438/0439,46346-002,,,RMI,Ebeye Water Supply and Sanitation,PARD,PAUS,09/28/2015,,,5.00,,5.00,,,,,,,,,,,3800.0,Water and Other Urban Infrastructure and Services,"3816, 3814","Urban Sewerage,Urban Water Supply",,,,,,,,,,,,,,,,
163,Australia,Australia,2015,2015,0439,0438/0439,46346-002,,,RMI,Ebeye Water Supply and Sanitation,PARD,PAUS,09/28/2015,,,,,0.00,4.00,,,4.00,DVA,PS,Full Administration,Bilateral,Grant,,3800.0,Water and Other Urban Infrastructure and Services,,"Urban Sewerage, Urban Water Supply",07/09/2015,,,No,,09/28/2015,,,,,Sovereign,,,,,
165,Asian Development Bank,"Australia,New Zealand,World Bank",2015,2015,0442,0442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,2.00,,2.00,,,,,,,,,,,3600.0,Public Sector Management,"3602, 3607","Public Expenditure and Fiscal Management,Reforms of State Owned Enterprises",,,,,,,,,,,,,,,,
166,Australia,Australia,2015,2015,0442 (CG1),0442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,,,0.00,1.10,,,1.10,DVA,PS,Collaborative,Bilateral,Grant,,3600.0,Public Sector Management,"3602, 3607",Public Expenditure and Fiscal Management,,,,No,,09/30/2015,,,,,Sovereign,,,,,
168,Asian Development Bank,"Australia,EC,UNDP",1979,1979,,0445,,,,NEP,Livestock Development,SARD,SAAE,12/19/1979,0.00,12.28,0.00,,12.28,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
169,Australia,Australia,1979,1979,,0445,,,,NEP,Livestock Development,SARD,SAAE,12/19/1979,,,,,0.00,,0.89,,0.89,Non-DVA,,,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,12/19/1979,,,,,Sovereign,,,,,
171,Asian Development Bank,"Australia,World Bank",2015,2015,,0458,47320-001,,,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,,,25.00,,25.00,,,,,,,,,,,4000.0,Information and Communication Technology,,,,,,,,,,,,,,,,,,
172,Australia,Australia,2015,2015,0458 (CG2),0458,47320-001,,,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,,,,,0.00,1.50,,,1.50,DVA,PS,Collaborative,Bilateral,Grant,,4000.0,Information and Communication Technology,,,,,,No,,11/20/2015,,,,,Sovereign,,,,,
174,Asian Development Bank,Australia,2016,2016,,0473/0474,48478,,,NAU,Fiscal Sustainability Reform Program,PARD,PLCO,04/28/2016,,,2.00,,2.00,,,,,,,,,,,3600.0,Public Sector Management,,,,,,,,,,,,,,,,,,
175,Australia,"Australia,Australia",2016,2016,0474,0473/0474,48478,,,NAU,Fiscal Sustainability Reform Program,PARD,PLCO,04/28/2016,,,,,0.00,1.89,,,1.89,DVA,PS,Full Administration,Bilateral,Grant,,3600.0,Public Sector Management,,,05/25/2015,,,No,,03/21/2016,,,,Approved,Sovereign,,,,,
177,Asian Development Bank,"Australia,World Bank",1980,1980,,0485,,,,SAM,Agricultural Development,PARD,,11/27/1980,0.00,3.00,0.00,,3.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
178,Australia,Australia,1980,1980,,0485,,,,SAM,Agricultural Development,PARD,,11/27/1980,,,,,0.00,,2.00,,2.00,Non-DVA,,,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,11/27/1980,,,,,Sovereign,,,,,
180,Asian Development Bank,"Australia,IFAD,World Bank",1983,1983,,0646,17086,,,SOL,Agricultural Development,PARD,,10/29/1983,0.00,7.75,0.00,,7.75,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
181,Australia,Australia,1983,1983,,0646,,,,SOL,Agricultural Development,PARD,,10/29/1983,,,,,0.00,,2.00,,2.00,Non-DVA,,,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,10/29/1983,,,,,Sovereign,,,,,
183,Asian Development Bank,Australia,1986,1986,,0786,,,,KIR,Tarawa Power,PARD,PAHQ,08/21/1986,0.00,0.70,0.00,,0.70,,,,,,,,,,ADF,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
184,Australia,Australia,1986,1986,,0786,,,,KIR,Tarawa Power,PARD,PAHQ,08/21/1986,,,,,0.00,0.16,,,0.16,Non-DVA,,,Bilateral,Grant,ADF,3200.0,Energy,,,,,,,,08/21/1986,,,,,Sovereign,,,,,
186,Asian Development Bank,Australia,1990,1990,,1031,,,,COO,Outer Islands Telecommunications,PARD,,09/20/1990,0.00,4.90,0.00,,4.90,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
187,Export Financing and Insurance Corp.,Australia,1990,1990,,1031,,,,COO,Outer Islands Telecommunications,PARD,,09/20/1990,,,,,0.00,,2.70,,2.70,Non-DVA,,,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,09/20/1990,,,,,Sovereign,,,,,
189,Asian Development Bank,Australia,1992,1992,,1183,,,,SRI,Participatory Forestry,SARD,SAAE,11/05/1992,0.00,10.50,0.00,,10.50,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
190,Australia,Australia,1992,1992,,1183,,,,SRI,Participatory Forestry,SARD,SAAE,11/05/1992,,,,,0.00,3.87,,,3.87,Non-DVA,,,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,11/05/1992,,,,,Sovereign,,,,"PCR IN 265-01, 29Nov01. Adj  from $5.8 was changed to $3.868 ref PCR. Adj Dec03",
192,Asian Development Bank,"Australia,World Bank",1993,1993,,1225,,,,PNG,Population and Family Planning,PARD,,04/01/1993,0.00,7.11,0.00,,7.11,,,,,,,,,,ADF,3400.0,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
193,Australia,Australia,1993,1993,,1225,,,,PNG,Population and Family Planning,PARD,,04/01/1993,,,,,0.00,10.00,,,10.00,Non-DVA,,,Bilateral,Grant,ADF,3400.0,Health and Social Protection,,,,,,,,04/01/1993,,,,,Sovereign,,,,Parallel cf ref pg 6 PCR.  Sent to OAS Feb08,
195,Asian Development Bank,"Australia,Germany,World Bank,EC",1994,1994,,1331,,,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,0.00,54.00,0.00,,54.00,,,,,,,,,,ADF,3400.0,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
196,Australia,Australia,1994,1994,,1331,,,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,,,,,0.00,10.55,,,10.55,Non-DVA,,,Bilateral,Grant,ADF,3400.0,Health and Social Protection,,,,,,,,11/10/1994,,,,,Sovereign,,,,,
198,Asian Development Bank,Australia,1995,1995,,1367,,,,PHI,Regional Municipal Development,SERD,,08/30/1995,12.00,0.00,0.00,,12.00,,,,,,,,,,OCR,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
199,Australia,Australia,1995,1995,,1367,,,,PHI,Regional Municipal Development,SERD,,08/30/1995,,,,,0.00,11.77,,,11.77,Non-DVA,,,Bilateral,Grant,OCR,3900.0,Multisector,3900,,,,,,,08/30/1995,,,,,Sovereign,,,,PCR 15Jun06. ADB $30 to $12. Parallel grant cf - AUS from $11.5m to $11.77 - adj Dec06. Sent to OAS Feb08,
201,Asian Development Bank,Australia,1995,1995,,1396,,,,PHI,Integrated Community Health,SERD,,10/17/1995,0.00,17.60,0.00,,17.60,,,,,,,,,,ADF,3400.0,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
202,Australia,Australia,1995,1995,,1396,,,,PHI,Integrated Community Health,SERD,,10/17/1995,,,,,0.00,13.70,,,13.70,Non-DVA,,,Bilateral,Grant,ADF,3400.0,Health and Social Protection,,,,,,,,10/17/1995,,,,,Sovereign,,,,"Adj Dec06 ref PCR Nov06.  ADB loan from $25.9 to $17.6, AUS from $15.2 to 13.7. Sent for storage Jan08.",
204,Asian Development Bank,Australia,1996,1996,,1448,,,,VAN,Urban Infrastructure,PARD,,06/27/1996,0.00,10.00,0.00,,10.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
205,Australia,Australia,1996,1996,,1448,,,,VAN,Urban Infrastructure,PARD,PARD,06/27/1996,,,,,0.00,0.32,,,0.32,Non-DVA,,,Bilateral,Grant,ADF,3900.0,Multisector,3900,,,,,,,06/27/1996,,,,,Sovereign,,,,,
207,Asian Development Bank,Australia,1998,1998,,1621,,,,LAO,Basic Education (Girls),SERD,SESS,06/25/1998,0.00,20.60,0.00,,20.60,,,,,,,,,,ADF,3100.0,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
208,Australia,Australia,1998,1998,,1621,,,,LAO,Basic Education (Girls),SERD,SESS,06/25/1998,,,,,0.00,5.00,,,5.00,Non-DVA,,,Bilateral,Grant,ADF,3100.0,Education,,,,,,,,06/25/1998,,,,,Sovereign,,,,Grant parallel (RRP). Adj Dec08 from $4.3 to $5.0m.,
210,Australia,Australia,1999,1999,3398,1697/3398(L),28338,,,CAM,Primary Roads Restoration,SERD,SETC,09/21/1999,,,,,0.00,0.86,,,0.86,DVA,,Full Administration,Bilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,,,09/21/1999,06/30/2000,,08/04/2006,,Sovereign,S,,,,
212,Asian Development Bank,"Australia,OFID",1999,1999,,1697/3398(L)/8182,28338,,,CAM,Primary Roads Restoration,SERD,SETC,09/21/1999,0.00,68.00,0.00,,68.00,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
214,Asian Development Bank,"Australia,UNDP",1999,1999,,1703,,,,PNG,Financial Management,PARD,,10/21/1999,25.80,0.00,0.00,,25.80,,,,,,,,,,OCR,3600.0,Public Sector Management,,,,,Private Sector Development,,,,,,,,,,,,,
215,Australia,Australia,1999,1999,,1703,,,,PNG,Financial Management,PARD,,10/21/1999,,,,,0.00,12.00,,,12.00,Non-DVA,,,Bilateral,Grant,OCR,3600.0,Public Sector Management,,,,,,,,10/21/1999,,,,,Sovereign,,,,"AusAID will provide parallel cf for: (i) the training of provincial, district & local level govt personnel & for diagnostic studies in selected areas ($11.2M); and (ii) United Nations Volunteer subcomponent ($0.79M). File to OAS Aug10.",
217,Asian Development Bank,"Australia,Germany",2001,2001,,1706/3632(L),29637,,,PNG,Employment-Oriented Skills Development,PARD,,02/20/2001,0.00,20.00,0.00,,20.00,,,,,,,,,,ADF,3100.0,Education,,,,,,,,,,,,,,Partly successful,,,"Original ADB project approved in 28 Oct 1999, cofinancing from AUS approved in 20  Feb 2001",
218,Australia,Australia,2001,2001,3632(L),1706/3632(L),29637,,,PNG,Employment-Oriented Skills Development,PARD,,02/20/2001,,,,,0.00,5.49,,,5.49,DVA,PS,Full Administration,Bilateral,Grant,ADF,3100.0,Education,,,,,,,,02/20/2001,06/26/2000,,09/25/2008,,Sovereign,Partly successful,,,Adj: in Dec01 previous amt is $2.49 now  $5.490. ADB admin 3632(L).,
220,Asian Development Bank,Australia,2000,2000,,1768/3520(L),32472,,,PNG,Microfinance and Employment,PARD,,10/19/2000,0.00,9.60,0.00,,9.60,,,,,,,,,,ADF,3300.0,Finance,,,,,Private Sector Development,,,,,,,,,Succesful,,,,
221,Australia,Australia,2000,2000,3520(L),1768/3520(L),32472,,,PNG,Microfinance and Employment,PARD,,10/19/2000,,,,,0.00,0.91,,,0.91,DVA,,Full Administration,Bilateral,Grant,ADF,3300.0,Finance,,,,,,,,10/19/2000,09/20/2001,,11/18/2010,,Sovereign,Succesful,,,,
223,Asian Development Bank,Australia,2000,2000,,1812,,,,PNG,Provincial Towns Water Supply and Sanitation,PARD,,12/15/2000,0.00,15.30,0.00,,15.30,,,,,,,,,,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
224,Australia,Australia,2000,2000,,1812,,,,PNG,Provincial Towns Water Supply and Sanitation,PARD,,12/15/2000,,,,,0.00,1.80,,,1.80,Non-DVA,,,Bilateral,Grant,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/15/2000,,,,,Sovereign,,,,,
226,Asian Development Bank,"Australia,New Zealand",2006,2006,,1823/0043/0044,34513,,,SOL,Post-Conflict Emergency Rehabilitation (Supplementary),PARD,PARD,02/08/2006,0.00,11.56,0.00,,11.56,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,Succesful,Successful,,ADB Loan approved 21Dec2000 10.00 only YDB 11.56 /G0043 and G0043 approved in 08-Feb-2006,
227,Australia,Australia,2006,2006,0043,1823/0043/0044,34513,,,SOL,Post-Conflict Emergency Rehabilitation (Supplementary),PARD,PARD,02/08/2006,,,,,0.00,2.00,,,2.00,DVA,PS,Full Administration,Bilateral,Grant,,3900.0,Multisector,3900,Multisector,,,,,,02/08/2006,03/19/2001,,06/23/2008,,Sovereign,Succesful,Successful,,Anchor loan app in 2000. Grant 0043 - addl grant cf of $2.0 m from Australia (7May06- change in scope). Adj Dec09 ADB amt from $10 to $11.56 (ref PCR 8Oct09).,
229,Asian Development Bank,"Japan,U.K.,Canada,Australia,Norway,Sweden,Netherlands,World Bank,EC",2003,2003,,2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,0.00,100.00,0.00,,100.00,,,,,,,,,,ADF,3100.0,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,Successful,,,"Of the toal amount of Grant, $150M IS FINANCED BY UNITED KINGDOM, $100M BY EC, $50M BY NETHERLANDS, $40M BY NORWAY, $29M BY SWEDEN AND $20M BY CANADA.","DR 2009. Case Study: Improving Primary Education in Bangladesh, pp 14-15. DR 2010. Case Study: Reforming Education, pp 38-39."
230,Australia,Australia,2003,2003,,2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,,,,,0.00,12.00,,,12.00,Non-DVA,,,Bilateral,Grant,ADF,3100.0,Education,,,,,,,,11/03/2003,,,,,Sovereign,Successful,,,Through UNICEF.,"DR 2009. Case Study: Improving Primary Education in Bangladesh, pp 14-15. DR 2010. Case Study: Reforming Education, pp 38-39."
232,Asian Development Bank,Australia,2009,2009,,2168/0007/0013/0075/0193,36601,,,SRI,North East Community Restoration and Development II (Supplementary),SARD,,12/17/2009,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,12.77 ADF loan for confirmation,"DR 2009. para on AUS cof, pp 36."
233,Australia,Australia,2009,2009,0193,2168/0007/0013/0075/0193,36601-013,,,SRI,North East Community Restoration and Development II (Supplementary),SARD,SLRM,12/17/2009,,,,,0.00,7.28,,,7.28,DVA,,Full Administration,Bilateral,Grant,,3900.0,Multisector,3900,Multisector,,,,,,12/17/2009,09/02/2010,,,,Sovereign,Successful,,,,
235,Asian Development Bank,"Australia,New Zealand",2005,2005,,2220/0031/0032,34285,,,SAM,Education Sector II,PARD,PAHQ,12/16/2005,0.00,8.06,0.00,,8.06,,,,,,,,,,ADF,3100.0,Education,,,,,,,,,,,,,,,,,,
236,Australia,Australia,2005,2005,0031,2220/0031/0032,34285,,,SAM,Education Sector II,PARD,PAHQ,12/16/2005,,,,,0.00,8.60,,,8.60,DVA,PS,Partial Administration,Bilateral,Grant,ADF,3100.0,Education,,,,,,,,12/16/2005,08/14/2006,,,,Sovereign,,,,ADB admin grants (partial admin),
238,Asian Development Bank,"Australia,Canada,Denmark,U.K.,Germany,Ireland,Spain,EC,World Bank",2006,2006,,2262,,,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,0.00,15.00,0.00,,15.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
239,Australia,Australia,2006,2006,,2262,,,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,,,,,0.00,7.40,,,7.40,Non-DVA,,,Bilateral,Grant,ADF,3900.0,Multisector,3900,,,,,,,10/05/2006,,,,,Sovereign,,,,"AUS $10 million (US$7.4, to be confirmed) ref final RRP.",
241,Asian Development Bank,Australia,2012,2012,0187,2288/2602/0187,37269-023,,,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary),SERD,SETC,01/12/2012,,,,,0.00,,,,,,,,,,,3700.0,Transport and ICT,3703,Rail Transport,,,Regional Cooperation,,,,,,,,,,,,"Anchor project approved in 2009, with AUSAid cofin of $21.5 m",
